state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
NEW MEXICO,Tornado,QUAY,5/17/2021,15:33:00,0,0,0,0,EF0,2.67,NARA VISA,$0.00 ,$0.00 ,0
NEW MEXICO,Tornado,COLFAX,5/28/2021,13:01:00,0,0,0,0,EF0,0.56,MAXWELL,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,WAYNE,5/6/2021,16:00:00,0,0,0,0,EF0,0.52,RINARD,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,BOSSIER,4/7/2021,15:33:00,0,0,0,0,EF1,0.9,KORAN,"$10,000.00 ",$0.00 ,1
NEW JERSEY,Tornado,BURLINGTON,9/1/2021,17:59:00,0,0,0,0,EF1,1.84,BEVERLY,$0.00 ,$0.00 ,1
FLORIDA,Tornado,MARION,4/18/2021,18:21:00,0,0,0,0,EF0,2.27,WEST END,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,RED RIVER,4/7/2021,15:35:00,0,0,0,0,EF1,9.18,WESTDALE,"$50,000.00 ",$0.00 ,1
LOUISIANA,Tornado,BIENVILLE,4/7/2021,15:52:00,0,0,0,0,EF1,4.07,GIDDENS,$0.00 ,$0.00 ,1
GEORGIA,Tornado,COFFEE,4/24/2021,20:03:00,0,0,0,0,EF2,8.15,MORA,$0.00 ,$0.00 ,2
OKLAHOMA,Tornado,GARVIN,4/27/2021,23:00:00,0,0,0,0,EF1,4.5,PAULS VALLEY,"$30,000.00 ",$0.00 ,1
NEBRASKA,Tornado,CUMING,12/15/2021,15:41:00,0,0,0,0,EF1,0.36,BEEMER,$0.00 ,$0.00 ,1
LOUISIANA,Tornado,OUACHITA,4/7/2021,17:48:00,0,0,0,0,EF0,2.81,CALHOUN,$0.00 ,$0.00 ,0
MISSOURI,Tornado,TANEY,4/28/2021,8:30:00,0,0,0,0,EF0,0.09,IKE,"$25,000.00 ",$0.00 ,0
GEORGIA,Tornado,TERRELL,4/24/2021,8:30:00,0,0,0,0,EF1,0.93,DOVEREL,$0.00 ,$0.00 ,1
FLORIDA,Tornado,MANATEE,4/10/2021,16:45:00,1,0,0,0,EF1,0.51,BAYSHORE GARDENS,"$1,000,000.00 ",$0.00 ,1
TEXAS,Tornado,SCURRY,5/18/2021,20:16:00,0,0,0,0,EF0,0.01,KNAPP,$0.00 ,$0.00 ,0
GEORGIA,Tornado,EARLY,4/24/2021,7:59:00,0,0,0,0,EF1,7.02,ROCK HILL,"$75,000.00 ",$0.00 ,1
GEORGIA,Tornado,EARLY,4/24/2021,8:01:00,0,0,0,0,EF0,4.41,SAWHATCHEE,$0.00 ,$0.00 ,0
TENNESSEE,Tornado,SCOTT,4/8/2021,17:07:00,0,0,0,0,EF0,2.63,CORDELL,$0.00 ,$0.00 ,0
TENNESSEE,Tornado,SCOTT,4/8/2021,17:12:00,0,0,0,0,EF2,1.31,NORMA,$0.00 ,$0.00 ,2
LOUISIANA,Tornado,CADDO,2/28/2021,18:15:00,0,0,0,0,EF1,1.46,VIVIAN ARPT,"$30,000.00 ",$0.00 ,1
TENNESSEE,Tornado,SCOTT,4/8/2021,17:15:00,0,0,0,0,EF2,1.84,DEAN,$0.00 ,$0.00 ,2
SOUTH CAROLINA,Tornado,SPARTANBURG,4/10/2021,17:38:00,0,0,0,0,EF0,1.13,FAIRMONT,$0.00 ,$0.00 ,0
FLORIDA,Tornado,POLK,4/11/2021,11:18:00,0,0,0,0,EF0,1.44,JAN PHYL VLG,"$15,000.00 ","$2,000.00 ",0
FLORIDA,Tornado,WALTON,4/10/2021,5:23:00,0,0,0,0,EF1,15.76,POND CREEK,"$10,000.00 ",$0.00 ,1
FLORIDA,Tornado,BAY,4/10/2021,7:42:00,0,0,0,0,EF2,0.45,SUNNYSIDE,"$500,000.00 ",$0.00 ,2
